ref,address,eircode,electoral_area,valuation,ds_x,ds_y
"DS-073-23","Rivermount, Clarina, Co. Limerick","V94 P98C","Limerick City West","40000","549472","651820"
"DS-104-22","1/2 Lord Edward Street, Limerick","V94 RX38","Limerick City West","170000","557634","656404"
"DS-150-22","Main Street, Bruree, Co. Limerick","V35 W1H2","Cappamore/Kilmallock","30000","555023","630530"
"DS-048-23","Duneevin House, Ballynacragga, Foynes, Co. Limerick","V94 PY79","Adare/Rathkeale","125000","525175","651612"
"DS-074-17","4 Saint Munchin's Terrace, Sexton Street North, Limerick","V94W0XF","Limerick City North","60000","556949","658061"
"DS-001-22","Ballyorgan, Co. Limerick","V35 EV91","Cappamore/Kilmallock","30000","567974","618385"
"DS-109-22","74 O'Connell Street, Limerick","V94 HWK4","Limerick City West","400000","557302","656654"
"DS-071-23","Main Street, Castlemahon, Co. Limerick","","Newcastle West","25000","531483","631392"
"DS-128-22","Kilmeedy, Co. Limerick","V42 WN84","Newcastle West","40000","537713","629678"
"DS-170-22","Cahernagh Lodge, Deebert, Co. Limerick","V35 NF43","Cappamore/Kilmallock","150000","561095","627928"
"DS-003-23","Ballyea, Fedamore, Co. Limerick","V35 HV22","Adare/Rathkeale","70000","559141","643951"
"DS-106-19","11 Broad Street, Limerick","V94 K7D9","Limerick City North","55000","558080","657329"
"DS-134-22","26 Clare Street, Limerick","V94 E6XH","Limerick City North","70000","558406","657390"
"DS-189-22","O'Sullivan's Lane, Lock Quay, Limerick","","Limerick City East","100000","558110","657368"
"DS-037-23","20 Upper Gerald Griffin Street, Limerick","","Limerick City North","60000","557829","656860"
"DS-183-22","Treaty Terrace Yard, Thomondgate, Limerick","","Limerick City North","30000","557422","657882"
"DS-057-23","214 Valley View, O'Malley Park, Limerick","V94 VX6K","Limerick City North","20000","558949","655280"
"DS-095-23","24 Thomas Street, Limerick","V94 X34H","Limerick City West","170000","557738","656984"
"DS-100-23","Bothar Buí, Newcastle West, Co. Limerick","V42HY82","Newcastle West","25000","528100","633475"
"DS-036-23","22 New Road, Thomondgate, Limerick","V94 HT20","Limerick City North","90000","557216","658327"
"DS-089-23","Crecora Cross, Crecora, Co. Limerick","V94 C1WH","Adare/Rathkeale","150000","554772","647249"
"DS-002-23","V94 F9XN","V94 F9XN","Limerick City West","140000","557035","655675"
"DS-121-23","2 Rosbrien Terrace, Rosbrien Road, Limerick","V94 K02D","Limerick City West","140000","557047","655683"
"DS-128-23","Roches Row, Limerick","V94 NW89","Limerick City West","90000","557732","656914"
"DS-115-23","Rhebogue Road, Limerick","","Limerick City East","150000","559936","657203"
"DS-088-23","Peadar's Bar, Main Street, Ardagh, Co. Limerick","V42H983","Newcastle West","100000","527975","638705"
"DS-058-23","Main Street, Abbeyfeale, Co. Limerick","V94 X3N7","Newcastle West","115000","511559","626816"
"DS-113-19","14 Sarsfield Avenue, Upper Pennywell, Limerick","V94 KHW6","Limerick City North","130000","558438","656989"
"DS-105-22","Gerald Griffin House, Lower Gerald Griffin Street, Limerick","V94 A259","Limerick City East","150000","558089","657003"
"DS-162-22","58 Clare Street, Limerick","V94 HH50","Limerick City East","170000","558661","657291"
"DS-130-20","Convent Street, Abbeyfeale, Co. Limerick","V94D8X6","Newcastle West","95000","511820","626929"
"DS-169-20","10 Saint Columcille Street, Saint Mary's Park, Limerick","V94 HPA9","Limerick City North","50000","557533","658455"
"DS-042-23","8 Monabraher Road, Ballynanty, Limerick","V94 WE2Y","Limerick City North","55000","556456","658795"
"DS-119-23","Moore Street, Cappamore, Co. Limerick","V94 E3V2","Cappamore/Kilmallock","100000","577172","651524"
"DS-161-22","Punches Cross, Ballinacurra Road/Rosbrien Road, Limerick","","Limerick City West","1000000","556947","655602"
"DS-013-24","43 Nicholas Street, Limerick","V94 X52E","Limerick City North","110000","557888","657635"
"DS-118-22","Sarsfield Street, Kilmallock, Co. Limerick","V35 X407","Cappamore/Kilmallock","90000","560793","627800"
"DS-026-21","Churchtown, Newcastle West, Co. Limerick","V42YY98","Newcastle West","90000","527559","634444"
"DS-069-23","1 St. Mary's Road, Newcastle West, Co. Limerick","V42PX04","Newcastle West","125000","528355","633561"
"DS-017-24","Church Street, Abbeyfeale, Co. Limerick","V94W7R8","Newcastle West","100000","511426","626769"
"DS-021-24","Ballywilliam North, Rathkeale, Co. Limerick","","Adare/Rathkeale","60000","536776","641190"
"DS-044-16","Main Street, Pallasgreen, Co. Limerick","","Cappamore/Kilmallock","100000","577064","646392"
"DS-142-21","Ballinamuddagh, Ardagh, Co. Limerick","V42 XR84","Adare/Rathkeale","180000","531197","642356"
"DS-143-21","Ballinamuddagh, Ardagh, Co. Limerick","V42 WD56","Adare/Rathkeale","170000","531215","642378"
"DS-140-22","Main Street, Glin, Co. Limerick","V94Y338","Newcastle West","25000","513042","647238"
"DS-027-24","Maiden Street, Newcastle West, Co. Limerick","V42F291","Newcastle West","180000","527972","633785"
"DS-045-24","Chalfonte, Ennis Road, Limerick","V94 X95T","Limerick City North","390000","556209","657562"
"DS-037-24","14 Pearse Avenue, Janesboro, Limerick","V94 HRP7","Limerick City East","140000","558168","655853"
"DS-145-23","The Lane, Bruree, Co. Limerick","V35 XV21","Cappamore/Kilmallock","35000","555114","630558"
"DS-058-24","47 Windmill Street, Limerick","V94 FP9E","Limerick City West","125000","557106","656601"
"DS-044-22","Fairgreen, Bruff, Co. Limerick","V35 XA99","Cappamore/Kilmallock","60000","562665","636510"
"DS-186-22","Groody Hill, Rhebogue, Co. Limerick","","Limerick City East","50000","560307","657115"
"DS-004-23","O'Curry Street, Limerick","","Limerick City West","50000","557057","656514"
